STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),lof_score,Normal
1,192.168.50.8,60713,334469,2,186,334469,53.995998,0
2,192.168.50.6,54801,117555581,6,440,23511116,16.959999,0
3,172.217.3.106,443,3772849812,128,35312,29707478,13.496000,0
4,192.168.50.8,56770,514699,2,178,514699,16.959999,0
5,172.16.0.5,41077,441153987,12,720,40104907,35.959999,0
6,192.168.50.9,48200,2393471,8,682,341924,43.459999,0
7,192.168.50.8,59200,435183,2,170,435183,36.532001,0
8,192.168.50.9,37652,2094149,8,682,299164,2.960000,0
9,192.168.50.8,52093,530260,2,172,530260,54.495998,0
10,172.217.1.162,443,58165004150,16,1440,3877666943,16.959999,0
11,192.168.50.8,53267,335559,2,186,335559,16.532000,0
12,192.168.50.9,60096,2147181,8,682,306740,50.032001,0
13,192.168.50.8,65283,328544,2,160,328544,41.424000,0
14,192.168.50.8,56051,390595,2,166,390595,18.924000,0
15,192.168.50.8,52859,341627,2,146,341627,4.460000,0
16,192.168.50.8,51666,447831,2,178,447831,20.924000,0
17,172.16.0.5,41860,1028091,4,240,342697,54.495998,0
18,192.168.50.8,59597,622114831,26,3836,24884593,53.959999,0
19,172.217.2.161,443,58163465543,18,1320,3421380326,63.495998,0
20,192.168.50.8,60360,428374,2,170,428374,25.032000,0
21,172.217.9.230,443,4211117466,166,130812,25521924,64.496002,0
22,192.168.50.6,54808,1675926,6,388,335185,27.496000,0
23,172.217.9.238,80,125687331,2,120,125687331,56.959999,0
24,192.168.50.8,59599,306250450,24,5206,13315236,16.459999,0
25,192.168.50.8,57018,419065,2,152,419065,41.959999,0
26,192.168.50.8,55292,361792,2,168,361792,13.496000,0
27,192.168.50.8,51821,337270,2,178,337270,54.995998,0
28,172.217.197.154,443,4661027650,61,17594,77683794,16.959999,0
29,192.168.50.8,62338,370101,2,174,370101,4.960000,0
30,192.168.50.8,64820,352907,2,146,352907,34.495998,0
31,192.168.50.8,64358,427987,2,176,427987,27.959999,0
32,192.168.50.8,64858,369325,2,154,369325,36.495998,0
33,192.168.50.6,54560,289353,2,120,289353,27.496000,0
34,192.168.50.8,59604,6783975,16,2635,452265,16.959999,0
35,192.168.50.8,60926,1056385,4,332,352128,40.995998,0
36,0.0.0.0,68,4708083029,397,135774,11889098,16.959999,0
37,172.16.0.5,31151,394837509,28,4614,14623611,6.924000,0
38,192.168.50.8,64535,264651,2,174,264651,53.495998,0
39,192.168.50.6,54803,619608547,8,586,88515506,53.959999,0
40,192.168.50.9,48208,2068160,8,682,295451,54.495998,0
41,192.168.50.8,59595,303080666,16,1788,20205377,64.496002,0
42,192.168.50.8,61172,366536,2,148,366536,58.495998,0
43,192.168.50.6,54805,127187979,4,240,42395993,36.959999,0
44,192.168.50.8,54503,342947,2,138,342947,16.959999,0
45,192.168.50.8,53461,267198,2,172,267198,2.960000,0
46,172.217.12.193,443,3769929247,184,82156,20600706,13.496000,0
47,192.168.50.8,55657,496592,2,166,496592,16.959999,0
48,34.209.30.112,443,2069993,8,580,295713,54.495998,0
