STT,SrcIP,SrcPort,DstIP,DstPort,Proto,FlowDuration,FlowPktsPerSec,FlowBytesPerSec,FlowIATMean,PktLenMean,Label_unlabeled,Label
1,172.16.0.5,52312,192.168.50.4,1111,6,147866379,25,27,49288793,60,0,Portmap
2,192.168.50.6,54915,172.217.10.226,443,6,181259780,19,15,9539988,141,0,BENIGN
3,172.16.0.5,569,192.168.50.4,40664,17,4988,699443,400962,4988,253,0,Portmap
4,172.16.0.5,648,192.168.50.4,50199,17,3317,251468,602954,3317,271,0,Portmap
5,172.16.0.5,526,192.168.50.4,38628,17,3517,237168,568666,3517,271,0,Portmap
6,172.16.0.5,648,192.168.50.4,38010,17,3843,217049,520426,3843,271,0,Portmap
7,52.216.18.11,80,192.168.50.6,54956,6,23140719663,0,0,550969515,991,0,BENIGN
8,172.16.0.5,648,192.168.50.4,56527,17,2210,377430,904977,2210,271,0,Portmap
9,172.16.0.5,648,192.168.50.4,59868,17,4434,188119,451059,4434,271,0,Portmap
10,172.16.0.5,546,192.168.50.4,20307,17,2850,292673,701754,2850,271,0,Portmap
11,172.16.0.5,648,192.168.50.4,28094,17,1995,418105,1002506,1995,271,0,Portmap
12,23.194.110.93,443,192.168.50.6,54991,6,5113827739,0,0,340921849,82,0,BENIGN
13,192.168.50.8,59898,172.217.2.161,443,6,170840595401,0,0,322346093,169,0,BENIGN
14,172.16.0.5,52312,192.168.50.4,7589,6,148748392,25,26,49582797,60,0,Portmap
15,172.16.0.5,941,192.168.50.4,46213,17,48501,51017,41236,48501,289,0,Portmap
16,192.168.50.6,63058,4.2.2.4,53,17,3054,1203714,654878,3054,77,0,BENIGN
17,172.16.0.5,686,192.168.50.4,61009,17,1909,436941,1047668,1909,271,0,Portmap
18,172.16.0.5,718,192.168.50.4,22317,17,3382,246635,591366,3382,271,0,Portmap
19,172.16.0.5,624,192.168.50.4,52035,17,3220,259043,621118,3220,271,0,Portmap
20,192.168.50.8,55928,4.2.2.4,53,17,2513,666989,795861,2513,76,0,BENIGN
21,172.16.0.5,743,192.168.50.4,64543,17,3026,275651,660938,3026,271,0,Portmap
22,172.16.0.5,708,192.168.50.4,47415,17,2113,394756,946521,2113,271,0,Portmap
23,172.16.0.5,648,192.168.50.4,12169,17,4627,180272,432245,4627,271,0,Portmap
