SrcIP,SrcPort,Feature0,Feature1,Feature2,Feature3,Feature4,Label
172.16.0.5,636,229396,17,271,76465,4725,0
172.16.0.5,675,317,6309,271,317,1709779,0
172.16.0.5,949,377838,10,271,125946,2868,0
172.16.0.5,803,395491,20,275,56498,5572,0
172.16.0.5,810,395440,15,283,79088,4293,0
172.16.0.5,560,303,6600,253,303,1669966,0
172.16.0.5,542,234,8547,271,234,2316239,0
172.16.0.5,792,395530,20,262,56504,5304,0
172.16.0.5,823,389875,15,283,77975,4355,0
172.16.0.5,903,56129,71,271,18709,19312,0
172.16.0.5,512,189824,31,271,37964,8565,0
172.16.0.5,944,237,8438,271,237,2286919,0
172.16.0.5,941,306,6535,271,306,1771241,0
172.16.0.5,901,234,8547,271,234,2316239,0
172.16.0.5,645,228855,34,271,32693,9473,0
172.16.0.5,831,389356,15,271,77871,4176,0
172.16.0.5,638,229382,26,265,45876,6931,0
172.16.0.5,1015,189776,21,271,63258,5711,0
172.16.0.5,837,389389,20,271,55627,5567,0
172.16.0.5,946,240,8333,271,240,2258333,0
172.16.0.5,525,190008,31,265,38001,8368,0
172.16.0.5,866,389776,20,275,55682,5654,0
172.16.0.5,933,262767,19,271,65691,5156,0
172.16.0.5,936,262749,15,271,87583,4125,0
172.16.0.5,666,130824,30,271,43608,8285,0
172.16.0.5,817,252639,15,280,84213,4433,0
172.16.0.5,684,234,8547,271,234,2316239,0
172.16.0.5,851,389976,20,271,55710,5559,0
172.16.0.5,925,262865,22,271,52573,6185,0
172.16.0.5,658,191206,31,277,38241,8692,0
172.16.0.5,818,252629,15,271,84209,4290,0
172.16.0.5,637,229384,26,271,45876,7088,0
172.16.0.5,834,389281,15,265,77856,4084,0
172.16.0.5,780,396055,30,274,36005,8301,0
172.16.0.5,655,191257,31,265,38251,8323,0
172.16.0.5,795,395964,20,289,56566,5838,0
172.16.0.5,849,389411,20,271,55630,5567,0
172.16.0.5,557,234,8547,271,234,2316239,0
172.16.0.5,857,389903,20,271,55700,5560,0
172.16.0.5,552,507,3944,271,507,1069033,0
172.16.0.5,860,389757,20,266,55679,5470,0
172.16.0.5,867,320574,18,271,64114,5072,0
172.16.0.5,806,395506,15,277,79101,4202,0
172.16.0.5,852,389965,20,275,55709,5651,0
172.16.0.5,805,395504,15,271,79100,4111,0
172.16.0.5,539,138613,28,271,46204,7820,0
172.16.0.5,1022,189839,31,271,37967,8565,0
172.16.0.5,843,388968,20,271,55566,5573,0
172.16.0.5,935,262754,15,280,87584,4262,0
172.16.0.5,676,247,8097,271,247,2194331,0
172.16.0.5,784,396039,20,280,56577,5656,0
172.16.0.5,762,402391,19,262,57484,5208,0
172.16.0.5,934,262829,15,271,87609,4124,0
172.16.0.5,758,403657,19,271,57665,5370,0
172.16.0.5,892,122745,32,271,40915,8831,0
172.16.0.5,678,311,6430,271,311,1742765,0
172.16.0.5,672,240,8333,271,240,2258333,0
172.16.0.5,924,262866,22,271,52573,6185,0
172.16.0.5,648,465970,371,269,2709,99963,0
172.16.0.5,800,395576,20,266,56510,5389,0
172.16.0.5,948,377911,10,271,125970,2868,0
172.16.0.5,649,190915,31,271,38183,8516,0
172.16.0.5,524,189862,31,271,37972,8564,0
172.16.0.5,815,252704,15,271,84234,4289,0
172.16.0.5,798,395517,20,271,56502,5481,0
172.16.0.5,788,395559,20,271,56508,5480,0
172.16.0.5,646,228780,34,266,32682,9318,0
172.16.0.5,862,389814,20,271,55687,5561,0
172.16.0.5,787,395563,20,271,56509,5480,0
172.16.0.5,639,229302,26,271,45860,7091,0
172.16.0.5,791,395537,20,275,56505,5577,0
172.16.0.5,943,233,8583,271,233,2326180,0
172.16.0.5,916,181479,33,271,36295,8959,0
172.16.0.5,771,400361,24,267,44484,6678,0
172.16.0.5,865,389781,20,266,55683,5469,0
172.16.0.5,813,252659,15,271,84219,4290,0
172.16.0.5,653,191810,31,277,38362,8664,0
172.16.0.5,830,389300,15,271,77860,4176,0
172.16.0.5,907,181626,33,265,36325,8754,0
172.16.0.5,681,233,8583,271,233,2326180,0
172.16.0.5,677,242,8264,271,242,2239669,0
172.16.0.5,931,263312,22,283,52662,6448,0
172.16.0.5,850,389520,20,280,55645,5750,0
172.16.0.5,845,388946,20,275,55563,5666,0
172.16.0.5,679,234,8547,271,234,2316239,0
172.16.0.5,566,234,8547,271,234,2316239,0
172.16.0.5,540,234,8547,289,234,2470085,0
172.16.0.5,819,252679,15,262,84226,4147,0
172.16.0.5,779,396103,30,265,36009,8033,0
172.16.0.5,567,234,8547,271,234,2316239,0
172.16.0.5,913,181499,33,271,36299,8958,0
172.16.0.5,683,235,8510,289,235,2459574,0
172.16.0.5,657,191287,31,271,38257,8500,0
172.16.0.5,790,395557,20,275,56508,5571,0
172.16.0.5,644,228863,34,271,32694,9472,0
172.16.0.5,651,191769,31,271,38353,8478,0
172.16.0.5,775,398235,25,271,44248,6805,0
172.16.0.5,820,252681,15,280,84227,4432,0
172.16.0.5,942,241,8298,271,241,2248962,0
172.16.0.5,650,191857,31,271,38371,8475,0
172.16.0.5,765,401472,19,266,57353,5310,0
172.16.0.5,927,262915,22,271,52583,6184,0
172.16.0.5,669,131232,30,271,43744,8260,0
172.16.0.5,898,123166,32,298,41055,9677,0
172.16.0.5,897,123143,32,271,41047,8802,0
172.16.0.5,1009,241387,12,277,120693,3442,0
172.16.0.5,661,266407,30,275,38058,8273,0
172.16.0.5,783,396052,20,275,56578,5564,0
172.16.0.5,514,189894,31,265,37978,8373,0
172.16.0.5,838,389479,20,266,55639,5473,0
172.16.0.5,634,229353,17,289,76451,5040,0
172.16.0.5,545,301,6644,271,301,1800664,0
172.16.0.5,846,389448,20,271,55635,5566,0
172.16.0.5,908,181573,33,301,36314,9946,0
172.16.0.5,1014,189788,21,271,63262,5711,0
172.16.0.5,940,238,8403,289,238,2428571,0
172.16.0.5,923,262959,22,271,52591,6183,0
172.16.0.5,836,389286,15,271,77857,4176,0
172.16.0.5,928,263275,22,271,52655,6176,0
172.16.0.5,812,252272,15,280,84090,4439,0
172.16.0.5,768,400605,19,266,57229,5321,0
172.16.0.5,515,189780,31,271,37956,8567,0
172.16.0.5,554,388,5154,271,388,1396907,0
172.16.0.5,782,396138,25,271,44015,6841,0
172.16.0.5,643,228806,34,271,32686,9475,0
172.16.0.5,794,395529,20,266,56504,5390,0
172.16.0.5,1020,189880,21,262,63293,5519,0
172.16.0.5,947,234,8547,271,234,2316239,0
172.16.0.5,773,398856,25,267,44317,6704,0
172.16.0.5,816,252707,15,271,84235,4289,0
172.16.0.5,522,189849,31,259,37969,8185,0
172.16.0.5,652,191815,31,265,38363,8289,0
172.16.0.5,551,393,5089,289,393,1470737,0
172.16.0.5,811,252186,15,271,84062,4298,0
172.16.0.5,938,240,8333,271,240,2258333,0
172.16.0.5,558,233,8583,271,233,2326180,0
172.16.0.5,937,301,6644,271,301,1800664,0
172.16.0.5,796,395585,20,271,56512,5480,0
172.16.0.5,840,388992,20,271,55570,5573,0
172.16.0.5,544,233,8583,271,233,2326180,0
172.16.0.5,642,228823,34,271,32689,9474,0
172.16.0.5,894,123232,32,253,41077,8228,0
172.16.0.5,861,389816,20,271,55688,5561,0
172.16.0.5,563,233,8583,271,233,2326180,0
172.16.0.5,785,396103,20,271,56586,5473,0
172.16.0.5,759,403417,19,266,57631,5289,0
172.16.0.5,686,235,8510,253,235,2153191,0
172.16.0.5,864,389734,20,271,55676,5562,0
172.16.0.5,555,388,5154,307,388,1582474,0
172.16.0.5,665,130837,30,280,43612,8560,0
172.16.0.5,807,395496,15,277,79099,4202,0
172.16.0.5,764,401866,19,271,57409,5394,0
172.16.0.5,517,189180,31,271,37836,8594,0
172.16.0.5,814,252653,15,271,84217,4290,0
172.16.0.5,902,55708,53,271,27854,14593,0
