SrcIP,SrcPort,DstIP,DstPort,Proto,Feature0,Feature1,Feature2,Feature3,Feature4,Label
54.192.53.175,443,192.168.50.8,59606,6,26.349123,254.498627,4.963142,21.474123,8.455078,0
192.168.50.8,64612,4.2.2.4,53,17,6.218750,14.688599,20.869034,6.218750,6.140625,0
192.168.50.8,138,192.168.50.255,138,17,7.781250,16.126099,24.029242,3.906250,7.898438,0
172.217.9.226,443,192.168.50.8,59608,6,25.765192,1.097453,5.295484,18.827692,9.654495,0
192.168.50.6,58734,4.2.2.4,53,17,3.625000,17.282349,23.522388,3.625000,6.203125,0
192.168.50.6,60512,4.2.2.4,53,17,5.562500,15.344849,21.569988,5.562500,6.187500,0
192.168.50.6,54841,172.217.12.163,443,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
192.168.50.8,62421,4.2.2.4,53,17,4.125000,16.782349,23.171402,4.125000,6.359375,0
192.168.50.6,61879,4.2.2.4,53,17,4.750000,17.157349,23.456993,3.250000,6.265625,0
192.168.50.8,63848,4.2.2.4,53,17,3.375000,17.532349,23.861797,3.375000,6.296875,0
192.168.50.6,54869,172.217.9.230,443,6,25.769430,0.243850,246.226669,19.722555,6.986084,0
192.168.50.6,54855,172.217.9.226,443,6,17.653885,6.538208,13.665799,13.466385,7.133789,0
192.168.50.6,62285,8.8.8.8,53,17,4.625000,16.282349,22.537291,4.625000,6.218750,0
172.16.0.5,41860,192.168.50.4,54589,6,16.433197,5.474152,11.354942,14.933197,5.875000,0
192.168.50.6,54359,4.2.2.4,53,17,3.500000,17.407349,23.602686,3.500000,6.156250,0
52.88.72.192,443,192.168.50.8,59615,6,25.822729,254.846207,5.950058,21.135229,8.228027,0
192.168.50.6,50362,4.2.2.4,53,17,3.625000,17.282349,23.701202,3.625000,6.390625,0
192.168.50.8,52859,4.2.2.4,53,17,3.625000,17.282349,23.462784,3.625000,6.140625,0
74.208.236.171,80,192.168.50.8,59596,6,22.283804,255.623550,5.593742,20.783804,5.968750,0
192.168.50.6,63203,8.8.8.8,53,17,3.500000,17.407349,24.273239,3.500000,6.859375,0
172.217.12.206,80,192.168.50.6,54861,6,26.214514,254.216003,255.246780,21.777014,7.560547,0
