SrcIP,SrcPort,DstIP,DstPort,Proto,FlowDuration,FlowPktsPerSec,FlowBytesPerSec,FlowIATMean,PktLenMean,Label
192.168.50.6,54814,74.208.236.171,80,6,718439,27,3897,37812,140,0
192.168.50.8,59615,52.88.72.192,443,6,61252326,0,77,2112149,157,0
74.208.236.171,80,192.168.50.6,54845,6,5746080,0,43,1915360,63,0
192.0.73.2,80,192.168.50.6,54836,6,30057021,0,125,2312078,269,0
172.16.0.5,41860,192.168.50.4,54589,6,93891,42,2556,31297,60,0
192.168.50.6,63893,4.2.2.4,53,17,8,250000,18500000,8,74,0
192.168.50.6,62285,4.2.2.4,53,17,9,222222,17333333,9,78,0
192.168.50.8,64555,4.2.2.4,53,17,9,222222,19333333,9,87,0
192.168.50.8,59200,4.2.2.4,53,17,9,222222,18888888,9,85,0
172.217.9.230,443,192.168.50.6,54868,6,58318687,0,136,2777080,363,0
192.168.50.6,50237,4.2.2.4,53,17,24,83333,7000000,24,84,0
192.168.50.8,56022,4.2.2.4,53,17,63,31746,2349206,63,74,0
192.168.50.6,54833,74.208.236.171,80,6,9,222222,14666666,9,66,0
192.168.50.6,56925,4.2.2.4,53,17,10,200000,16200000,10,81,0
192.168.50.6,54827,74.208.236.171,80,6,8,250000,16500000,8,66,0
192.168.50.6,54871,172.217.9.230,443,6,203315,98,13938,10700,141,0
192.168.50.8,60484,4.2.2.4,53,17,9,222222,17555555,9,79,0
192.168.50.6,52915,8.8.8.8,53,17,11,181818,14727272,11,81,0
192.168.50.8,61393,4.2.2.4,53,17,12,166666,14500000,12,87,0
172.217.12.206,80,192.168.50.6,54851,6,91648710,0,81,3160300,250,0
192.168.50.6,54886,52.34.248.21,443,6,40635069,0,247,1625402,386,0
192.168.50.6,54832,74.208.236.171,80,6,9,222222,14666666,9,66,0
192.168.50.8,62093,4.2.2.4,53,17,8,250000,21750000,8,87,0
74.208.236.171,80,192.168.50.6,54838,6,229443,56,19834,19120,350,0
172.16.0.5,52312,192.168.50.4,15789,6,150270,26,1597,50090,60,0
52.85.90.206,443,192.168.50.8,59604,6,90205,155,81614,6938,525,0
192.168.50.9,48200,52.28.108.167,443,6,100129,79,6811,14304,85,0
192.168.50.9,41488,93.184.216.180,443,6,28575,419,30866,2597,73,0
192.168.50.6,52188,4.2.2.4,53,17,11,181818,15818181,11,87,0
192.168.50.6,60614,4.2.2.4,53,17,12,166666,14000000,12,84,0
192.168.50.6,54802,172.217.10.65,443,6,34435284,0,12,6887056,73,0
192.168.50.6,54878,52.85.89.250,443,6,90621034,0,99,2323616,224,0
34.209.30.112,443,192.168.50.8,59555,6,135838,58,4269,19405,72,0
192.168.50.6,55971,8.8.8.8,53,17,17,117647,9411764,17,80,0
192.168.50.6,54560,54.213.45.184,443,6,10,200000,12000000,10,60,0
192.168.50.6,62013,4.2.2.4,53,17,69,28985,2608695,69,90,0
74.208.236.171,80,192.168.50.6,54818,6,409455,14,908,81891,62,0
192.168.50.6,54884,172.217.3.106,443,6,274404,94,15378,10976,162,0
192.168.50.6,54842,172.217.12.163,443,6,10,200000,13200000,10,66,0
192.168.50.6,63064,8.8.8.8,53,17,17,117647,10000000,17,85,0
192.168.50.4,22,172.16.0.5,30500,6,9318520,4,757,238936,176,0
192.168.50.8,53017,4.2.2.4,53,17,9,222222,18444444,9,83,0
192.168.50.6,54803,172.217.7.2,443,6,34435182,0,12,6887036,73,0
192.168.50.8,62338,4.2.2.4,53,17,8,250000,21750000,8,87,0
172.217.197.154,443,192.168.50.9,60096,6,63,95238,6285714,12,66,0
192.168.50.6,54875,31.13.71.2,443,6,58266758,0,89,2330670,201,0
192.168.50.8,56770,4.2.2.4,53,17,16,125000,11125000,16,89,0
192.168.50.6,54858,172.217.12.193,443,6,59447741,0,50,2830844,137,0
192.168.50.8,53546,4.2.2.4,53,17,25,160000,12640000,8,79,0
172.217.12.206,80,192.168.50.8,59613,6,100531727,0,30,4021269,118,0
192.168.50.6,58003,4.2.2.4,53,17,26,76923,6538461,26,85,0
192.168.50.8,55951,4.2.2.4,53,17,10,200000,15800000,10,79,0
172.217.12.193,443,192.168.50.6,54858,6,59385437,0,123,3493261,406,0
192.168.50.6,55038,4.2.2.4,53,17,13,153846,13384615,13,87,0
192.168.50.6,59889,4.2.2.4,53,17,10,200000,15000000,10,75,0
192.168.50.8,59611,172.217.12.162,443,6,59206352,0,107,2192827,227,0
192.168.50.6,61122,4.2.2.4,53,17,9,222222,18000000,9,81,0
192.168.50.6,64539,4.2.2.4,53,17,9,222222,18000000,9,81,0
192.168.50.8,62298,4.2.2.4,53,17,9,222222,16444444,9,74,0
192.168.50.8,60931,239.255.255.250,1900,17,6016061,8,1490,113510,166,0
172.217.9.226,443,192.168.50.8,59599,6,61116401,0,159,1490643,232,0
192.168.50.8,138,192.168.50.255,138,17,250,64000,15552000,16,243,0
192.168.50.8,54503,4.2.2.4,53,17,21,95238,6571428,21,69,0
192.168.50.6,62431,4.2.2.4,53,17,11,181818,15272727,11,84,0
