SrcIP,SrcPort,feature0,feature1,feature2,feature3,feature4,Label
172.16.0.5,965,14150210,0,268,1088477,265,1
172.16.0.5,855,14143421,0,271,1087955,268,1
172.16.0.5,999,9433710,1,271,1048190,287,1
172.16.0.5,921,14156421,0,273,1088955,270,1
172.16.0.5,848,14139239,0,273,1087633,270,1
172.16.0.5,775,14143384,0,271,1087952,268,1
172.16.0.5,822,14143419,0,263,1087955,260,1
172.16.0.5,994,11786522,1,268,1071502,272,1
172.16.0.5,1011,11783211,1,268,1071201,272,1
172.16.0.5,851,14143719,0,271,1087978,268,1
172.16.0.5,774,14143350,0,268,1087950,265,1
172.16.0.5,928,14155894,0,268,1088914,265,1
172.16.0.5,972,14150556,0,260,1088504,257,1
172.16.0.5,797,11781921,1,274,1071083,279,1
172.16.0.5,883,14159801,0,271,1089215,267,1
172.16.0.5,532,11785564,1,271,1071414,275,1
172.16.0.5,887,14159990,0,274,1287271,232,1
172.16.0.5,919,14156469,0,273,1088959,270,1
172.16.0.5,815,14139947,0,268,1087688,265,1
172.16.0.5,523,11785171,1,271,1071379,275,1
172.16.0.5,1015,11783129,1,277,1071193,282,1
172.16.0.5,752,14138749,0,271,1087596,268,1
172.16.0.5,1000,11786372,1,265,1071488,269,1
172.16.0.5,990,14160568,0,265,1089274,262,1
172.16.0.5,962,14154752,0,268,1088827,265,1
172.16.0.5,934,14151533,0,273,1088579,270,1
172.16.0.5,762,14139272,0,265,1087636,263,1
172.16.0.5,953,14150965,0,271,1088535,268,1
172.16.0.5,789,14135581,0,271,1087352,268,1
172.16.0.5,784,14139920,0,276,1087686,273,1
172.16.0.5,901,14172663,0,273,1090204,270,1
172.16.0.5,1012,11783246,1,274,1071204,279,1
172.16.0.5,779,14139720,0,266,1087670,263,1
172.16.0.5,776,14143525,0,271,1087963,268,1
172.16.0.5,525,11785155,1,268,1071377,272,1
172.16.0.5,841,14134787,0,271,1087291,268,1
172.16.0.5,534,11785746,1,271,1071431,275,1
172.16.0.5,908,14164241,0,281,1089557,278,1
172.16.0.5,993,11786380,1,268,1071489,272,1
172.16.0.5,930,14155906,0,271,1088915,268,1
172.16.0.5,935,14159852,0,273,1089219,270,1
172.16.0.5,531,11785148,1,274,1071377,278,1
172.16.0.5,989,14164563,0,273,1089581,270,1
172.16.0.5,940,14154585,0,276,1088814,273,1
172.16.0.5,973,14150745,0,266,1088518,263,1
172.16.0.5,845,14135340,0,273,1087333,270,1
172.16.0.5,1010,11787505,1,271,1071591,275,1
172.16.0.5,770,14142822,0,271,1087909,268,1
172.16.0.5,847,14139446,0,268,1087649,265,1
172.16.0.5,931,14155759,0,273,1088904,270,1
172.16.0.5,991,11786160,1,271,1071469,276,1
172.16.0.5,824,14143911,0,283,1087993,280,1
172.16.0.5,754,14138747,0,278,1087595,275,1
172.16.0.5,984,14160523,0,265,1089271,262,1
172.16.0.5,537,11785798,1,268,1071436,272,1
172.16.0.5,947,14155083,0,268,1088852,265,1
172.16.0.5,985,14160561,0,268,1089273,265,1
172.16.0.5,777,14143618,0,268,1087970,265,1
172.16.0.5,891,14168033,0,271,1089848,267,1
172.16.0.5,905,14168271,0,271,1089867,267,1
172.16.0.5,795,14140277,0,281,1087713,278,1
172.16.0.5,519,11784144,1,268,1071285,272,1
172.16.0.5,1020,11778228,1,262,1070748,266,1
172.16.0.5,753,14138756,0,268,1087596,265,1
172.16.0.5,950,14151168,0,263,1088551,260,1
172.16.0.5,860,14143175,0,268,1087936,265,1
172.16.0.5,749,14145489,0,265,1088114,263,1
172.16.0.5,1002,11790930,1,268,1071902,272,1
172.16.0.5,868,14139304,0,268,1087638,265,1
172.16.0.5,863,14143232,0,268,1087940,265,1
172.16.0.5,987,14164866,0,273,1089605,270,1
172.16.0.5,910,14164324,0,271,1089563,267,1
172.16.0.5,958,14150359,0,268,1088489,265,1
172.16.0.5,825,14139728,0,271,1087671,268,1
172.16.0.5,821,14143797,0,271,1285799,229,1
172.16.0.5,837,14140183,0,273,1087706,270,1
172.16.0.5,954,14150979,0,273,1088536,270,1
172.16.0.5,922,14156464,0,276,1088958,273,1
172.16.0.5,839,14135328,0,271,1087332,268,1
172.16.0.5,764,14138952,0,271,1087611,268,1
172.16.0.5,830,14139952,0,271,1087688,268,1
172.16.0.5,648,15244813,30,270,32644,8289,1
172.16.0.5,522,11784925,1,262,1071356,266,1
172.16.0.5,778,14143816,0,265,1087985,263,1
172.16.0.5,920,14156514,0,273,1088962,270,1
172.16.0.5,948,14150957,0,263,1088535,260,1
172.16.0.5,870,14139433,0,273,1087648,270,1
172.16.0.5,945,14155003,0,268,1088846,265,1
172.16.0.5,846,14139446,0,271,1087649,268,1
172.16.0.5,512,11779043,1,274,1070822,279,1
172.16.0.5,805,14136180,0,271,1087398,268,1
172.16.0.5,938,14155039,0,271,1088849,268,1
172.16.0.5,817,14144133,0,273,1088010,270,1
172.16.0.5,977,14150985,0,271,1088537,268,1
172.16.0.5,995,11790922,1,271,1071902,275,1
172.16.0.5,831,14139954,0,268,1087688,265,1
172.16.0.5,856,14143489,0,265,1087960,263,1
172.16.0.5,872,14143452,0,268,1087957,265,1
172.16.0.5,806,14135689,0,276,1087360,273,1
172.16.0.5,802,14136178,0,268,1087398,265,1
172.16.0.5,915,14155891,0,271,1088914,268,1
172.16.0.5,517,11784070,1,271,1071279,275,1
172.16.0.5,772,14147500,0,271,1088269,268,1
172.16.0.5,980,14155318,0,271,1088870,268,1
172.16.0.5,758,14138907,0,271,1087608,268,1
172.16.0.5,949,14150998,0,266,1088538,263,1
172.16.0.5,986,14164854,0,265,1089604,262,1
172.16.0.5,878,14155531,0,289,1088887,285,1
172.16.0.5,884,14159796,0,268,1089215,265,1
172.16.0.5,827,14140024,0,289,1087694,286,1
172.16.0.5,1001,11790943,1,271,1071903,275,1
172.16.0.5,983,14160811,0,278,1089293,275,1
172.16.0.5,897,14168555,0,271,1089888,267,1
172.16.0.5,946,14155040,0,268,1088849,265,1
172.16.0.5,823,14143497,0,276,1087961,273,1
172.16.0.5,760,14139049,0,268,1087619,265,1
172.16.0.5,854,14143417,0,271,1087955,268,1
172.16.0.5,843,14135023,0,278,1087309,276,1
172.16.0.5,926,14156098,0,268,1088930,265,1
172.16.0.5,515,11779385,1,268,1070853,273,1
172.16.0.5,871,14139254,0,273,1087634,270,1
172.16.0.5,943,14155031,0,271,1088848,268,1
172.16.0.5,970,14150451,0,278,1088496,275,1
172.16.0.5,988,14164575,0,265,1089582,262,1
172.16.0.5,992,11786238,1,277,1071476,282,1
172.16.0.5,902,14172714,0,271,1090208,267,1
172.16.0.5,952,14150937,0,276,1088533,273,1
172.16.0.5,832,14140013,0,271,1087693,268,1
172.16.0.5,974,14150700,0,273,1088515,270,1
172.16.0.5,787,14135582,0,271,1087352,268,1
172.16.0.5,961,14154770,0,281,1088828,278,1
172.16.0.5,766,14138457,0,273,1087573,270,1
172.16.0.5,1017,11778791,1,262,1070799,267,1
172.16.0.5,750,14143230,0,276,1087940,273,1
172.16.0.5,849,14139168,0,273,1087628,270,1
172.16.0.5,862,14143152,0,271,1087934,268,1
172.16.0.5,933,14151620,0,273,1088586,270,1
172.16.0.5,923,14156470,0,271,1088959,268,1
172.16.0.5,894,14164624,0,273,1089586,270,1
172.16.0.5,773,14143206,0,268,1087938,265,1
172.16.0.5,1003,11791158,1,274,1071923,278,1
172.16.0.5,944,14154946,0,271,1088842,268,1
172.16.0.5,893,14168314,0,273,1089870,270,1
