STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),Normal
1,172.16.0.5,34195,165314446,28,4558,6122757,0
2,192.168.50.8,62421,698120,2,174,698120,1
3,172.16.0.5,11041,2074389,2,120,2074389,0
4,192.168.50.9,48200,9281758,8,682,1325965,1
5,192.168.50.4,0,3909313,2,976,3909313,0
6,172.16.0.5,0,656536,2,164,656536,0
7,192.168.50.6,54560,480008,2,120,480008,1
8,172.16.0.5,43174,794414,2,120,794414,0
9,172.16.0.5,17369,100499335,36,5310,2871409,0
10,192.168.50.6,54802,130962698,6,440,26192539,1
11,192.168.50.8,56051,661492,2,166,661492,1
12,172.16.0.5,16054,98982297,36,5158,2828065,0
13,192.168.50.8,60944,698453,2,174,698453,1
14,192.168.50.8,59596,569071354,8,492,81295907,0
15,192.168.50.8,59597,655277303,44,5148,15239007,0
16,172.16.0.5,41263,1444466,4,240,481488,0
17,172.16.0.5,27018,473174,2,120,473174,0
18,172.217.9.238,80,475087,2,120,475087,1
19,172.16.0.5,65478,3609930,2,920,3609930,0
20,192.168.50.8,50492,1377940,2,172,1377940,1
21,192.168.50.8,65282,652532,2,160,652532,1
22,192.168.50.8,60713,738183,2,186,738183,1
23,172.16.0.5,42392,6914463,4,240,2304821,0
24,172.16.0.5,48795,481534,2,120,481534,0
25,172.16.0.5,51292,111468109,30,4778,3843727,0
26,192.168.50.9,48208,14230721,8,682,2032960,1
27,192.168.50.9,57658,24899755,8,682,3557107,1
28,172.16.0.5,44193,5752947,4,240,1917649,0
29,172.16.0.5,49463,1430055,4,240,476685,0
30,192.168.50.8,53546,1887432,4,316,629144,1
31,172.16.0.5,25693,472833,2,120,472833,0
32,172.16.0.5,52312,1700333825,48,2880,36177315,0
33,172.16.0.5,21032,174002496,14,3562,13384807,0
34,192.168.50.8,64858,618493,2,154,618493,1
35,192.168.50.8,59605,539975249,32,3890,17418556,0
36,192.168.50.6,54803,128360862,6,440,25672172,1
37,192.168.50.8,60497,598379,2,150,598379,1
38,192.168.50.6,54799,154052456,6,440,30810491,1
39,192.168.50.8,61172,589036,2,148,589036,1
40,192.168.50.8,58785,638331,2,160,638331,1
41,192.168.50.8,58889,548782,2,138,548782,1
42,172.16.0.5,45814,1449227,4,240,483075,0
43,192.168.50.8,56531,651512,2,160,651512,1
44,172.16.0.5,30500,98399142,36,5310,2811404,0
45,192.168.50.8,59145,609797,2,152,609797,1
46,172.16.0.5,29835,92384532,34,5010,2799531,0
47,192.168.50.8,53267,737261,2,186,737261,1
48,192.168.50.8,55876,669117,2,178,669117,1
49,52.28.108.167,443,4700407,8,528,671486,1
50,192.168.50.9,41488,14983053,12,882,1362095,1
51,172.16.0.5,56993,1442955,4,240,480985,0
52,34.209.30.112,443,808481810,16,1160,53898787,0
53,172.16.0.5,45275,1718023,4,240,572674,0
54,192.168.50.8,59594,107821395,38,4902,2914091,1
55,192.168.50.8,59608,340228256,97,21221,3544044,0
56,172.16.0.5,51314,1493939,4,240,497979,0
57,192.168.50.8,52670,614550,2,154,614550,1
58,192.168.50.8,60926,1989571,4,332,663190,1
59,192.168.50.8,55174,644146,2,162,644146,1
60,192.168.50.8,59843,660231,2,166,660231,1
61,172.16.0.5,52928,1407430,4,240,469143,0
62,192.168.50.6,54805,2387103,4,240,795701,1
63,0.0.0.0,68,992803346,40,13680,25456496,0
64,192.168.50.6,54808,2580775,6,388,516155,1
65,192.168.50.8,59383,1225362,2,148,1225362,0
66,172.16.0.5,40861,1432007,4,240,477335,0
67,93.184.216.180,443,4704520,6,444,940904,1
68,172.16.0.5,57978,1437657,4,240,479219,0
69,172.16.0.5,32742,261726588,30,6342,9025054,0
70,192.168.50.8,50816,1182841,2,148,1182841,0
71,192.168.50.8,57360,693548,2,174,693548,1
72,192.168.50.8,59595,574005919,20,2028,30210837,0
73,192.168.50.8,59200,678147,2,170,678147,1
74,192.168.50.8,52093,1373003,2,172,1373003,1
75,192.168.50.8,54503,564076,2,138,564076,1
76,172.16.0.5,59055,473399,2,120,473399,0
77,172.16.0.5,56106,411957,2,120,411957,0
78,192.168.50.8,51666,716448,2,178,716448,1
79,54.192.55.39,443,1582959,4,264,527653,1
80,192.168.50.8,65283,638692,2,160,638692,1
81,172.16.0.5,42885,571194,2,120,571194,0
82,192.168.50.8,59601,661572709,52,6958,12972013,0
83,172.16.0.5,25294,94725187,34,5010,2870460,0
84,192.168.50.8,59606,377612572,42,4606,9210062,0
85,172.16.0.5,43044,577116,2,148,577116,0
86,192.168.50.4,22,1684667203,544,125472,3102517,0
87,172.16.0.5,17615,98295838,34,5010,2978661,0
88,192.168.50.8,54056,688921,2,172,688921,1
89,172.16.0.5,47362,1434662,4,240,478220,0
90,192.168.50.9,60096,7683564,8,682,1097652,1
91,173.194.208.109,465,107676783,47,8757,2340799,1
92,192.168.50.9,37312,9078843,10,790,1008760,1
93,192.168.50.8,62338,653938,2,174,653938,1
94,172.16.0.5,59346,2691797,6,412,538359,0
95,192.168.50.8,52983,701902,2,176,701902,1
96,172.16.0.5,31152,562702,2,120,562702,0
97,172.16.0.5,41077,1060011704,40,2400,27179787,0
98,192.168.50.8,59598,560661203,8,492,80094457,0
99,35.158.163.158,443,1586550,4,264,528850,1
100,172.16.0.5,58801,126637623,36,5062,3618217,0
101,172.16.0.5,40125,409736,2,120,409736,0
102,172.16.0.5,31151,93727454,28,4614,3471387,0
103,192.168.50.8,49985,736148,2,184,736148,1
104,192.168.50.8,59607,335913690,42,6604,8193016,0
105,192.168.50.8,64820,584246,2,146,584246,1
106,192.168.50.9,37652,19889912,8,682,2841416,1
107,172.16.0.5,53654,1503506,4,240,501168,0
108,172.16.0.5,46769,431305,2,120,431305,0
109,172.16.0.5,41860,1411278003,36,2160,40322228,0
110,192.168.50.8,55186,580560,2,146,580560,1
111,192.168.50.6,54801,148045361,6,440,29609072,1
112,172.16.0.5,40119,1797240,4,240,599080,0
113,192.168.50.8,55292,674028,2,168,674028,1
114,192.168.50.8,60484,638654,2,158,638654,1
115,192.168.50.8,59593,41380271,6,388,8276054,1
116,192.168.50.8,57018,611814,2,152,611814,1
117,192.168.50.8,56770,1332071,2,178,1332071,1
118,192.168.50.8,55657,661221,2,166,661221,1
119,172.16.0.5,14557,50639584,14,1022,3895352,0
120,172.16.0.5,52309,449223,2,120,449223,0
121,172.16.0.5,517,496499,2,120,496499,0
122,192.168.50.8,50301,2204568,4,368,734856,1
123,192.168.50.8,62093,696411,2,174,696411,1
124,192.168.50.8,59604,124143570,20,2900,6533872,1
125,192.168.50.6,54800,150718954,6,440,30143790,1
126,192.168.50.8,55951,630684,2,158,630684,1
127,172.16.0.5,43756,589072,2,148,589072,0
128,192.168.50.8,60215,671007,2,170,671007,1
129,192.168.50.8,64358,698806,2,176,698806,1
130,172.16.0.5,51049,7529742,4,240,2509914,0
131,192.168.50.8,53461,683861,2,172,683861,1
132,192.168.50.8,55151,583231,2,146,583231,1
133,192.168.50.9,46826,705516676,14,1036,54270513,0
134,192.168.50.8,59599,670455943,46,7928,14899020,0
135,192.168.50.8,60360,723484,2,170,723484,1
136,192.168.50.8,64535,701080,2,174,701080,1
137,172.16.0.5,44504,596781,2,148,596781,0
138,192.168.50.8,61001,652857,2,152,652857,1
139,172.217.197.154,443,2590912,6,396,518182,1
140,192.168.50.8,61667,651580,2,162,651580,1
141,172.16.0.5,51703,89320988,30,4666,3080034,0
142,192.168.50.8,51821,755360,2,178,755360,1
143,192.168.50.8,59600,651147821,44,5146,15142972,0
144,172.16.0.5,44432,1448271,4,240,482757,0
145,192.168.50.6,54804,122006410,6,440,24401282,1
146,172.16.0.5,59576,23631873,12,850,2148352,0
147,192.168.50.8,56022,588208,2,148,588208,1
148,172.16.0.5,56370,382444691,4,240,127481563,0
149,172.16.0.5,45935,594470,2,120,594470,0
150,192.168.50.8,58070,608345,2,146,608345,1
151,192.168.50.8,52762,602330,2,152,602330,1
152,192.168.50.8,52859,583089,2,146,583089,1
153,172.16.0.5,57574,93690052,30,4746,3230691,0
154,172.16.0.5,43769,485177,2,120,485177,0
155,192.168.50.8,55777,676489,2,170,676489,1
156,192.168.50.8,52807,603613,2,154,603613,1
157,52.85.90.206,443,118065059,14,7362,9081927,1
158,192.168.50.8,62834,1301452,2,158,1301452,1
159,192.168.50.6,60512,607856,2,152,607856,1
160,23.194.108.29,443,3133819,6,458,626763,1
