STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),Normal
1,192.168.50.8,56051,0,1,83,0,0
2,172.16.0.5,850,0,1,271,0,0
3,192.168.50.8,58465,0,1,85,0,0
4,192.168.50.6,55127,0,1,60,0,0
5,192.0.73.2,80,0,1,1514,0,0
6,172.217.12.195,443,0,1,60,0,0
7,34.209.30.112,443,0,1,60,0,0
8,172.16.0.5,854,0,1,271,0,0
9,192.168.50.8,59717,0,1,60,0,0
10,172.217.12.196,443,0,1,66,0,0
11,93.184.216.180,443,0,1,66,0,0
12,192.168.50.9,60096,0,1,66,0,0
13,192.168.50.6,54950,0,1,66,0,0
14,192.168.50.8,62338,0,1,87,0,0
15,192.168.50.8,57018,0,1,76,0,0
16,192.168.50.6,55082,0,1,66,0,0
17,192.168.50.6,55102,0,1,100,0,0
18,38.91.108.49,443,0,1,1434,0,0
19,192.168.50.9,50490,0,1,66,0,0
20,192.168.50.9,54412,0,1,66,0,0
21,192.168.50.6,54992,0,1,60,0,0
22,192.168.50.8,59731,0,1,60,0,0
23,192.168.50.8,55185,0,1,89,0,0
24,192.168.50.6,59077,0,1,86,0,0
25,172.16.0.5,853,0,1,271,0,0
26,192.168.50.8,59868,0,1,60,0,0
27,204.154.111.127,443,0,1,60,0,0
28,192.168.50.8,64358,0,1,88,0,0
29,192.168.50.8,59853,0,1,60,0,0
30,192.168.50.6,55186,0,1,60,0,0
31,192.168.50.6,58003,0,1,85,0,0
32,192.168.50.6,55039,0,1,89,0,0
33,192.168.50.8,59867,0,1,60,0,0
34,192.168.50.8,56770,0,1,89,0,0
35,192.168.50.8,59849,0,1,60,0,0
36,172.16.0.5,846,0,1,253,0,0
37,192.168.50.8,59609,0,1,66,0,0
38,172.217.12.202,443,0,1,60,0,0
39,172.16.0.5,860,0,1,271,0,0
40,192.168.50.8,56364,0,1,74,0,0
41,172.217.9.227,443,0,1,66,0,0
42,192.168.50.8,52859,0,1,73,0,0
43,192.168.50.8,64486,0,1,84,0,0
44,192.168.50.8,55111,0,1,84,0,0
45,192.168.50.8,51052,0,1,84,0,0
46,192.168.50.6,50183,0,1,79,0,0
47,192.168.50.9,60548,0,1,66,0,0
48,192.168.50.6,55174,0,1,60,0,0
49,192.168.50.6,55190,0,1,60,0,0
50,192.168.50.6,54848,0,1,60,0,0
51,192.168.50.9,33378,0,1,408,0,0
52,192.168.50.9,33306,0,1,66,0,0
53,192.168.50.8,59599,0,1,100,0,0
54,192.168.50.8,59862,0,1,66,0,0
55,192.168.50.9,34662,0,1,66,0,0
56,172.217.12.193,443,0,1,66,0,0
57,192.168.50.6,55261,0,1,60,0,0
58,192.168.50.8,59596,0,1,60,0,0
59,192.168.50.9,50484,0,1,66,0,0
60,192.168.50.8,59639,0,1,60,0,0
61,192.168.50.8,57360,0,1,87,0,0
62,192.168.50.6,55172,0,1,60,0,0
63,172.16.0.5,856,0,1,271,0,0
64,192.168.50.6,55072,0,1,89,0,0
65,192.168.50.8,51821,0,1,89,0,0
66,192.168.50.9,55020,0,1,66,0,0
67,192.168.50.6,55164,0,1,66,0,0
68,192.168.50.8,50816,0,1,74,0,0
69,192.168.50.8,64820,0,1,73,0,0
70,192.168.50.8,50301,0,1,92,0,0
71,192.168.50.6,55182,0,1,96,0,0
72,192.168.50.8,59778,0,1,60,0,0
73,192.168.50.6,49752,0,1,86,0,0
74,192.168.50.6,55091,0,1,60,0,0
75,23.194.140.46,443,0,1,66,0,0
76,192.168.50.8,59604,0,1,60,0,0
77,192.168.50.8,62298,0,1,74,0,0
78,192.168.50.6,55064,0,1,60,0,0
79,23.206.193.17,443,0,1,60,0,0
80,192.168.50.8,60360,0,1,85,0,0
81,52.85.89.197,443,0,1,1514,0,0
82,192.168.50.8,59798,0,1,60,0,0
83,192.168.50.8,59920,0,1,60,0,0
84,192.168.50.8,59635,0,1,873,0,0
85,172.16.0.5,848,0,1,289,0,0
86,192.168.50.8,58889,0,1,69,0,0
87,192.168.50.6,55217,0,1,60,0,0
88,192.168.50.6,54962,0,1,100,0,0
89,192.168.50.8,59751,0,1,66,0,0
90,216.58.217.130,443,0,1,100,0,0
91,192.168.50.8,59653,0,1,100,0,0
92,192.168.50.6,65408,0,1,92,0,0
93,192.168.50.8,60713,0,1,93,0,0
94,192.168.50.6,60449,0,1,85,0,0
95,192.168.50.9,43514,0,1,66,0,0
96,172.217.9.226,80,0,1,66,0,0
97,192.168.50.6,54804,0,1,60,0,0
98,192.168.50.6,54818,0,1,60,0,0
99,172.217.12.164,443,0,1,100,0,0
100,192.168.50.6,54836,0,1,367,0,0
101,23.194.108.29,443,0,1,66,0,0
102,192.168.50.8,59595,0,1,60,0,0
103,192.168.50.9,46826,0,1,74,0,0
104,192.168.50.8,59876,0,1,60,0,0
105,192.168.50.8,59799,0,1,66,0,0
106,54.81.160.231,443,0,1,60,0,0
107,192.168.50.6,54980,0,1,60,0,0
108,23.63.78.19,80,0,1,66,0,0
109,192.168.50.8,53267,0,1,93,0,0
110,172.16.0.5,56106,0,1,60,0,0
111,98.139.225.35,443,0,1,60,0,0
112,172.217.3.104,443,0,1,66,0,0
113,192.168.50.6,62211,0,1,74,0,0
114,192.168.50.9,50482,0,1,66,0,0
115,23.194.108.16,443,0,1,66,0,0
116,192.168.50.6,61063,0,1,83,0,0
117,192.168.50.6,62301,0,1,84,0,0
118,192.168.50.9,46380,0,1,66,0,0
119,192.168.50.9,48040,0,1,60,0,0
120,172.217.6.226,443,0,1,142,0,0
