STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),lof_score,Normal
1,192.168.50.8,59604,124121635,20,2900,6532717,1.090000,1
2,172.16.0.5,46769,2115248,2,120,2115248,57.388000,0
3,192.168.50.8,64820,584933,2,146,584933,1.054000,1
4,172.16.0.5,25294,94698462,34,5010,2869650,53.495998,0
5,192.168.50.8,59843,661041,2,166,661041,1.320000,1
6,192.168.50.8,55951,627630,2,158,627630,0.984000,1
7,172.16.0.5,31152,558652,2,120,558652,14.280000,0
8,192.168.50.8,52762,602693,2,152,602693,1.008000,1
9,172.16.0.5,40861,1414574,4,240,471524,37.532001,0
10,172.16.0.5,52309,484831,2,120,484831,32.495998,0
11,192.168.50.8,61667,668848,2,162,668848,1.016000,1
12,192.168.50.8,52093,1379952,2,172,1379952,0.992000,1
13,192.168.50.8,55174,645764,2,162,645764,0.962000,1
14,192.168.50.6,60512,605301,2,152,605301,0.983000,1
15,192.168.50.6,54801,148086412,6,440,29617282,0.990000,1
16,192.168.50.4,0,3916621,2,976,3916621,47.424000,0
17,172.16.0.5,17615,98315870,34,5010,2979268,53.495998,0
18,192.168.50.8,59606,45275818,14,2876,3482755,1.043000,1
19,172.217.9.238,80,430275,2,120,430275,0.991000,1
20,192.168.50.8,61172,582259,2,148,582259,1.049000,1
21,172.16.0.5,51292,111412360,30,4778,3841805,32.459999,0
22,192.168.50.8,59599,215621655,18,2694,12683626,0.999000,1
23,192.168.50.8,57360,694898,2,174,694898,1.008000,1
24,192.168.50.8,59598,19689916,4,252,6563305,0.980000,1
25,172.16.0.5,56106,439680,2,120,439680,40.459999,0
26,172.16.0.5,21032,173978529,14,3562,13382963,16.959999,0
27,192.168.50.8,59200,676961,2,170,676961,1.037000,1
28,192.168.50.9,37652,19880635,8,682,2840090,1.007000,1
29,172.16.0.5,29835,98526174,34,5010,2985641,24.496000,0
30,192.168.50.9,41488,14986479,12,882,1362407,1.030000,1
31,172.16.0.5,59055,480120,2,120,480120,5.068000,0
32,192.168.50.8,59607,65149838,18,2694,3832343,1.049000,1
33,192.168.50.8,60497,597783,2,150,597783,1.031000,1
34,192.168.50.9,60096,7722292,8,682,1103184,0.999000,1
35,192.168.50.8,54503,490139,2,138,490139,0.991000,1
36,172.16.0.5,48795,480006,2,120,480006,28.032000,0
37,192.168.50.6,54808,2570358,6,388,514071,1.015000,1
38,192.168.50.8,53267,754387,2,186,754387,0.983000,1
39,192.168.50.8,59597,309256042,24,3634,13445914,1.000000,1
40,192.168.50.6,54799,154031454,6,440,30806290,0.990000,1
41,172.16.0.5,45275,1441234,4,240,480411,60.995998,0
42,192.168.50.9,48208,14285001,8,682,2040714,1.037000,1
43,192.168.50.8,59608,100204801,42,9310,2444019,1.004000,1
44,172.16.0.5,65478,3674785,2,920,3674785,38.779999,0
45,172.16.0.5,43769,477137,2,120,477137,59.995998,0
46,192.168.50.8,55876,708249,2,178,708249,0.979000,1
47,192.168.50.8,59595,298177604,14,1668,22936738,1.011000,1
48,172.16.0.5,42392,1434018,4,240,478006,37.532001,0
49,192.168.50.8,56770,1340225,2,178,1340225,1.007000,1
50,192.168.50.8,62834,1356463,2,158,1356463,1.007000,1
51,192.168.50.8,60215,681723,2,170,681723,0.997000,1
52,172.16.0.5,51049,1447779,4,240,482593,65.068001,0
53,192.168.50.8,52670,613560,2,154,613560,1.155000,1
54,192.168.50.8,50492,1375689,2,172,1375689,0.992000,1
55,93.184.216.180,443,4747538,6,444,949507,1.038000,1
56,192.168.50.9,37312,9087630,10,790,1009736,1.001000,1
57,192.168.50.8,65282,640329,2,160,640329,1.017000,1
58,172.16.0.5,49463,1443378,4,240,481126,54.995998,0
59,23.194.108.29,443,3133659,6,458,626731,1.240000,1
60,192.168.50.8,58785,641813,2,160,641813,1.017000,1
61,172.16.0.5,30500,98298237,36,5310,2808521,1.460000,0
62,172.16.0.5,517,479359,2,120,479359,59.995998,0
63,172.16.0.5,51314,1446279,4,240,482093,29.496000,0
64,172.16.0.5,44504,665106,2,148,665106,1.780000,0
