STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),lof_score,Normal
1,172.217.197.154,443,4667253587,97,26878,48617224,31.459999,0
2,192.168.50.8,56051,50449,2,166,50449,1.924000,0
3,192.168.50.8,60892,6352022,36,3052,181486,1.063000,1
4,192.168.50.8,59593,163770,6,388,32754,54.459999,0
5,192.168.50.8,60880,10774398,86,18032,126757,1.063000,1
6,192.168.50.8,55657,136567,2,166,136567,15.996000,0
7,192.168.50.8,59597,727863278,32,4288,23479460,16.459999,0
8,192.168.50.8,60888,8580052,159,127325,54304,1.109000,1
9,192.168.50.8,58785,52574,2,160,52574,28.959999,0
10,192.168.50.6,56155,4840189,16,960,322679,0.986000,1
11,192.168.50.8,55292,25531224,2,168,25531224,55.636002,0
12,192.168.50.8,60867,9405708,36,3044,268734,1.010000,1
13,192.168.50.8,60886,3972741,20,2536,209091,1.046000,1
14,192.168.50.6,54802,1077652,6,440,215530,57.459999,0
15,192.168.50.6,54801,14278716,6,440,2855743,52.672001,0
16,192.168.50.8,62834,179898,2,158,179898,10.388000,0
17,172.16.0.5,41860,254609913,60,3600,4315422,32.959999,0
18,192.168.50.8,60860,199523,14,2512,15347,0.989000,1
19,192.168.50.8,55174,170876,2,162,170876,44.959999,0
20,192.168.50.8,60870,2281,2,132,2281,1.027000,1
21,192.168.50.8,60864,9220801,42,5180,224897,1.012000,1
22,52.28.108.167,443,3990123,8,528,570017,19.851999,0
23,192.168.50.6,56154,6976932,50,13935,142386,0.993000,1
24,172.217.12.193,443,3981428441,252,117503,15862264,38.995998,0
25,54.192.53.175,443,539558729,54,22254,10180353,1.960000,0
26,192.168.50.8,58070,54185,2,146,54185,44.995998,0
27,172.217.1.162,443,33220391148,342,239198,97420501,16.459999,0
28,192.168.50.6,56164,1545483,8,492,220783,1.163000,1
29,192.168.50.8,60882,10256627,137,35410,75416,1.004000,1
30,192.168.50.8,60856,4150637,20,1514,218454,1.012000,1
31,172.217.2.168,443,3422,2,132,3422,1.168000,1
32,192.168.50.6,56116,13852724,30,2870,477680,1.011000,1
33,192.168.50.8,59610,56590286,90,12782,635845,55.172001,0
34,192.168.50.8,60846,6756927,20,1514,355627,1.014000,1
35,192.168.50.6,56143,7192176,16,1250,479478,0.995000,1
36,54.192.55.39,443,108413,4,264,36137,26.496000,0
37,172.217.2.161,443,33220805461,80,12596,420516524,46.959999,0
38,192.168.50.8,60868,6568566,16,1782,437904,0.992000,1
39,192.168.50.9,51082,1672,2,148,1672,1.002000,1
40,192.168.50.8,60876,4832105,8,492,690300,1.003000,1
41,192.168.50.8,60862,4666912,8,492,666701,1.036000,1
42,192.168.50.8,55151,51853,2,146,51853,2.496000,0
43,192.168.50.6,54808,287548,6,388,57509,54.495998,0
44,192.168.50.8,60878,4824587,8,492,689226,0.998000,1
45,172.217.9.226,80,4317898597,16,1008,287859906,46.959999,0
46,192.168.50.8,64535,40656,2,174,40656,42.495998,0
47,192.168.50.8,60893,5770786,36,12142,164879,1.009000,1
48,172.217.9.230,443,4325532674,754,701938,5744399,16.959999,0
49,192.168.50.6,56162,1117666,20,2718,58824,0.999000,1
50,172.217.2.98,443,33220788015,48,9464,706825276,13.424000,0
51,172.217.0.226,443,838566,24,2080,36459,0.999000,1
52,192.168.50.6,56147,5074419,16,1250,338294,0.999000,1
53,172.217.2.164,443,32173650431,167,25241,193817171,53.495998,0
54,192.168.50.9,60096,259148,8,682,37021,54.495998,0
55,192.168.50.6,56169,1282255,16,2652,85483,1.017000,1
56,192.168.50.6,56165,2582839,46,10692,57396,1.110000,1
57,192.168.50.8,62421,47921,2,174,47921,29.459999,0
58,192.168.50.8,60871,1827,2,132,1827,0.983000,1
59,192.168.50.9,41488,702058,12,882,63823,55.924000,0
60,192.168.50.8,53546,371067765,8,652,53009680,38.995998,0
61,192.168.50.8,59843,509448326,38,4254,13768873,16.459999,0
62,192.168.50.8,59604,1215216,20,2900,63958,1.424000,0
63,192.168.50.8,59200,52404,2,170,52404,57.995998,0
64,192.168.50.8,60895,7884307,84,29134,94991,1.122000,1
65,192.168.50.8,60855,6716977,20,1514,353525,0.992000,1
66,192.168.50.8,52807,51090,2,154,51090,16.959999,0
67,151.101.2.2,443,2674,2,148,2674,0.975000,1
68,192.168.50.8,59609,53728067,28,5464,1989928,42.708000,0
69,192.168.50.8,60858,3878923,24,1440,168648,1.045000,1
70,192.168.50.6,54804,938566,6,440,187713,47.924000,0
71,172.16.0.5,52312,309829399,64,3840,4917926,52.995998,0
72,192.168.50.8,60887,195621,18,2714,11507,1.022000,1
73,192.168.50.8,60873,8585581,16,1586,572372,1.246000,1
74,192.168.50.8,59605,74142286,24,3250,3223577,5.136000,0
75,192.168.50.9,55330,2918,2,148,2918,0.977000,1
76,192.168.50.8,59600,79738680,30,4084,2749609,7.172000,0
77,192.168.50.6,56150,7232878,16,1250,482191,0.995000,1
78,23.194.108.29,443,182999,6,458,36599,43.459999,0
79,192.168.50.8,51821,42306,2,178,42306,10.496000,0
80,192.168.50.9,51078,1779,2,148,1779,0.983000,1
81,192.168.50.8,64358,53071,2,176,53071,2.496000,0
82,192.168.50.8,52093,153668,2,172,153668,6.924000,0
83,192.168.50.8,65283,41514,2,160,41514,2.960000,0
84,192.168.50.8,52670,53767,2,154,53767,0.496000,1
85,192.168.50.9,46826,20823500,12,888,1893045,55.172001,0
86,192.168.50.9,37312,4681117569,126,15570,37448940,15.924000,0
87,192.168.50.9,57940,3399,2,148,3399,1.168000,1
88,192.168.50.9,57934,2675,2,148,2675,0.976000,1
89,192.168.50.9,37652,348258,8,682,49751,2.960000,0
90,192.168.50.8,60874,1963,2,132,1963,1.084000,1
91,192.168.50.8,59598,49091338,8,492,7013048,60.136002,0
92,173.194.208.109,465,2542214,47,8757,55265,16.459999,0
93,192.168.50.8,60854,6769552,20,1514,356292,0.992000,1
94,192.168.50.4,51560,4899425,18,1398,288201,1.000000,1
95,172.217.9.238,80,128333190,32,4848,4139780,39.636002,0
96,172.217.2.174,80,168625,6,1822,33725,1.019000,1
97,192.168.50.9,57658,992433,8,682,141776,51.888000,0
98,192.168.50.8,52762,49277,2,152,49277,4.460000,0
99,192.168.50.8,60497,47919,2,150,47919,56.495998,0
100,172.217.2.170,443,619919,40,11678,15895,1.075000,1
101,192.168.50.8,60859,7547204,26,3144,301888,1.042000,1
102,192.168.50.8,59145,51358,2,152,51358,49.532001,0
103,172.16.0.5,41077,313304217,36,2160,8951549,37.995998,0
104,192.168.50.8,60926,1430393436,8,688,204341919,40.495998,0
105,192.168.50.8,60869,32093636991,4,278,2107944405,49.959999,0
106,192.168.50.6,54803,574630997,8,586,82090142,53.495998,0
107,192.168.50.8,56770,88409,2,178,88409,10.496000,0
108,192.168.50.8,60849,3736688,20,1514,196667,1.001000,1
109,159.127.42.82,443,172942,15,10738,12353,0.989000,1
110,172.217.9.226,443,4352697805,1168,748230,3729818,23.496000,0
111,192.168.50.8,56022,113282,2,148,113282,56.924000,0
112,192.168.50.8,64820,47325,2,146,47325,44.995998,0
113,192.168.50.6,60512,40419,2,152,40419,26.496000,0
114,192.168.50.8,60875,1647,2,132,1647,1.054000,1
115,192.168.50.8,52859,46678,2,146,46678,16.959999,0
116,192.168.50.6,56145,7226424,16,1250,481761,1.009000,1
117,192.168.50.8,59594,24187264,38,4902,653709,63.459999,0
118,192.168.50.8,62338,52504,2,174,52504,29.459999,0
119,192.168.50.8,50492,80930,2,172,80930,16.459999,0
120,192.168.50.8,60894,985985,14,2014,75845,0.985000,1
121,192.168.50.8,55186,51763,2,146,51763,45.495998,0
122,192.168.50.6,56144,32147475421,20,1562,1691972390,64.959999,0
123,192.168.50.8,54503,136104,2,138,136104,56.959999,0
124,192.168.50.8,60824,11924486,34,2862,361348,0.989000,1
125,192.168.50.6,56156,6583700,16,1194,438913,1.014000,1
126,192.168.50.6,54800,3577011,6,440,715402,54.316002,0
127,192.168.50.9,51074,2883,2,148,2883,1.046000,1
128,192.168.50.8,53267,46730,2,186,46730,3.460000,0
129,192.168.50.9,42676,2486,2,148,2486,1.024000,1
130,192.168.50.8,60883,8005601,30,3754,276055,1.003000,1
131,192.168.50.8,60847,4986248,16,1250,332416,1.013000,1
132,192.168.50.8,60857,6512238,20,1514,342749,1.067000,1
133,192.168.50.8,60713,132430,2,186,132430,30.959999,0
134,192.168.50.6,56159,7157894,42,5738,174582,0.997000,1
135,192.168.50.9,42742,2558,2,148,2558,1.024000,1
136,192.168.50.8,57018,50735,2,152,50735,29.459999,0
137,192.168.50.8,58889,48054,2,138,48054,4.460000,0
138,192.168.50.8,60863,12227441,44,5140,284359,1.010000,1
139,192.168.50.8,59595,53308575,16,1788,3553905,16.959999,0
140,192.168.50.6,56148,4169765,18,1130,245280,0.990000,1
141,192.168.50.9,48200,375697,8,682,53671,54.495998,0
142,172.16.0.5,17369,2001924,36,5310,57197,16.459999,0
143,192.168.50.6,56125,3898541,16,1250,259902,0.982000,1
144,192.168.50.6,56122,4534492,16,1250,302299,1.033000,1
145,192.168.50.8,59596,898726,4,252,299575,65.424004,0
146,192.168.50.8,60890,8542695,52,14012,167503,0.995000,1
147,0.0.0.0,68,8876331709,1000,342004,8885216,16.959999,0
148,192.168.50.8,52983,55186433,4,346,18395477,55.636002,0
149,192.168.50.6,54560,35777,2,120,35777,1.460000,0
150,172.16.0.5,31151,70997485,28,4614,2629536,23.636000,0
151,172.217.3.106,443,4338809714,286,197598,15223893,16.959999,0
152,52.85.90.206,443,4343390440,1587,1987827,2738581,31.959999,0
153,192.168.50.8,60877,4935218,8,492,705031,0.998000,1
154,192.168.50.6,56142,7140405,16,1250,476027,1.057000,1
155,192.168.50.3,0,89999974523,538,52724,167597717,31.459999,0
156,192.168.50.4,22,315000936,690,145822,457185,7.672000,0
157,192.168.50.8,60889,8800103,56,9998,160001,1.008000,1
158,192.168.50.8,60881,8944883,30,3782,308444,0.998000,1
159,192.168.50.8,60872,7850322,18,1718,461783,1.308000,1
