SrcIP,SrcPort,Feature0,Feature1,Feature2,Feature3,Feature4,Label
172.16.0.5,787,14135588,0,271,1087352,268,1
172.16.0.5,753,14138730,0,268,1087594,265,1
172.16.0.5,832,14139989,0,271,1087691,268,1
172.16.0.5,812,14140087,0,273,1087699,270,1
172.16.0.5,821,14143810,0,271,1285800,229,1
172.16.0.5,779,14139711,0,266,1087670,263,1
172.16.0.5,827,14139931,0,289,1087687,286,1
172.16.0.5,764,14138957,0,271,1087612,268,1
172.16.0.5,795,14140156,0,281,1087704,278,1
172.16.0.5,775,14143393,0,271,1087953,268,1
172.16.0.5,756,14138738,0,268,1087595,265,1
172.16.0.5,835,14140232,0,271,1087710,268,1
172.16.0.5,776,14143524,0,271,1087963,268,1
172.16.0.5,826,14139600,0,273,1087661,270,1
172.16.0.5,784,14139937,0,276,1087687,273,1
172.16.0.5,758,14138971,0,271,1087613,268,1
172.16.0.5,833,14139937,0,278,1087687,275,1
172.16.0.5,811,14140170,0,271,1087705,268,1
172.16.0.5,808,14135581,0,271,1087352,268,1
172.16.0.5,794,14135607,0,268,1087354,265,1
172.16.0.5,838,14139712,0,268,1087670,265,1
172.16.0.5,792,14135310,0,263,1087331,260,1
172.16.0.5,773,14143197,0,268,1087938,265,1
172.16.0.5,762,14139326,0,265,1087640,263,1
172.16.0.5,845,14135315,0,273,1087331,270,1
172.16.0.5,813,14139943,0,268,1087687,265,1
172.16.0.5,796,14135868,0,271,1087374,268,1
172.16.0.5,782,14139628,0,273,1087663,270,1
172.16.0.5,765,14138485,0,268,1087575,265,1
172.16.0.5,831,14139885,0,268,1087683,265,1
172.16.0.5,844,14135063,0,268,1087312,265,1
172.16.0.5,809,14135588,0,268,1087352,265,1
172.16.0.5,819,14144129,0,268,1088009,265,1
172.16.0.5,759,14139033,0,268,1087617,265,1
172.16.0.5,816,14144208,0,273,1088016,270,1
172.16.0.5,751,14138668,0,286,1087589,283,1
172.16.0.5,842,14134801,0,271,1087292,268,1
172.16.0.5,791,14135576,0,273,1087352,271,1
172.16.0.5,755,14138816,0,271,1087601,268,1
172.16.0.5,783,14139629,0,268,1087663,265,1
172.16.0.5,760,14139084,0,268,1087621,265,1
172.16.0.5,817,14144130,0,273,1088010,270,1
172.16.0.5,805,14136163,0,271,1087397,268,1
172.16.0.5,825,14139603,0,271,1087661,268,1
172.16.0.5,799,14135885,0,268,1087375,265,1
172.16.0.5,786,14135577,0,271,1087352,268,1
172.16.0.5,761,14139249,0,268,1087634,265,1
172.16.0.5,793,14135457,0,266,1087342,263,1
172.16.0.5,801,14136159,0,278,1087396,276,1
172.16.0.5,768,14138617,0,273,1087585,270,1
172.16.0.5,789,14135588,0,271,1087352,268,1
172.16.0.5,828,11786487,1,271,1071498,275,1
172.16.0.5,752,14138744,0,271,1087595,268,1
172.16.0.5,778,14143768,0,265,1087982,263,1
172.16.0.5,648,15244762,30,270,32644,8289,0
172.16.0.5,804,14136172,0,271,1087397,268,1
172.16.0.5,763,14139194,0,271,1087630,268,1
172.16.0.5,824,14143797,0,283,1087984,280,1
172.16.0.5,788,14135522,0,268,1087347,265,1
172.16.0.5,777,14143689,0,268,1087976,265,1
172.16.0.5,774,14143316,0,268,1087947,265,1
172.16.0.5,770,14142734,0,271,1087902,268,1
172.16.0.5,806,14135733,0,276,1087364,273,1
172.16.0.5,830,14139948,0,271,1087688,268,1
172.16.0.5,841,14134745,0,271,1087288,268,1
172.16.0.5,766,14138409,0,273,1087569,270,1
172.16.0.5,815,14139939,0,268,1087687,265,1
172.16.0.5,800,14135821,0,268,1087370,265,1
172.16.0.5,780,14139773,0,273,1087674,270,1
172.16.0.5,818,14143997,0,268,1087999,265,1
172.16.0.5,823,14143496,0,276,1087961,273,1
172.16.0.5,798,14135877,0,265,1087375,263,1
172.16.0.5,757,14138744,0,271,1087595,268,1
172.16.0.5,750,14143207,0,276,1087939,273,1
172.16.0.5,803,14136165,0,273,1087397,270,1
172.16.0.5,839,14135268,0,271,1087328,268,1
172.16.0.5,822,14143477,0,263,1087959,260,1
172.16.0.5,840,14134883,0,271,1087298,268,1
192.168.50.3,0,42200169,5,98,200000,492,0
172.16.0.5,814,14139942,0,289,1087687,286,1
172.16.0.5,785,14139919,0,268,1087686,265,1
172.16.0.5,772,14147441,0,271,1088264,268,1
172.16.0.5,829,14139868,0,265,1087682,263,1
172.16.0.5,790,14135882,0,276,1087375,273,1
172.16.0.5,834,14140047,0,271,1087695,268,1
172.16.0.5,767,14138441,0,271,1087572,268,1
172.16.0.5,807,14135600,0,276,1087353,273,1
172.16.0.5,771,14147295,0,268,1088253,265,1
172.16.0.5,754,14138739,0,278,1087595,275,1
172.16.0.5,797,11781781,1,274,1071071,279,1
172.16.0.5,810,14136158,0,276,1087396,273,1
172.16.0.5,802,14136172,0,268,1087397,265,1
172.16.0.5,836,14140157,0,265,1087704,263,1
172.16.0.5,749,14145517,0,265,1088116,263,1
172.16.0.5,837,14140038,0,273,1087695,270,1
172.16.0.5,781,14139628,0,268,1087663,265,1
172.16.0.5,820,14144136,0,271,1088010,268,1
172.16.0.5,769,14138756,0,273,1087596,270,1
172.16.0.5,846,14139367,0,271,1087643,268,1
172.16.0.5,843,14135071,0,278,1087313,276,1
