SrcIP,SrcPort,Feature0,Feature1,Feature2,Feature3,Feature4,Label
172.16.0.5,884,7041500,1,266,1005928,302,1
172.16.0.5,796,7018495,1,271,1002642,308,1
172.16.0.5,770,7023342,1,266,1003334,303,1
172.16.0.5,816,7022829,1,271,1003261,308,1
172.16.0.5,958,7021992,1,275,1003141,313,1
172.16.0.5,835,7024880,1,271,1003554,308,1
172.16.0.5,970,7022590,1,284,1003227,324,1
172.16.0.5,931,7032268,1,271,1004609,308,1
172.16.0.5,919,7024016,1,271,1003430,308,1
172.16.0.5,1018,4656731,1,283,931346,364,0
172.16.0.5,848,7024435,1,275,1003490,313,1
172.16.0.5,911,7028057,1,271,1004008,308,1
172.16.0.5,1011,4656649,1,265,931329,341,1
172.16.0.5,851,7028923,1,271,1004131,308,1
172.16.0.5,888,4664554,1,271,932910,348,1
172.16.0.5,846,7024592,1,271,1003513,308,1
172.16.0.5,1000,7041007,1,262,1005858,297,1
172.16.0.5,780,7019790,1,275,1002827,313,1
172.16.0.5,990,7031006,1,262,1004429,298,1
172.16.0.5,774,7019629,1,271,1002804,308,1
172.16.0.5,878,7038455,1,293,1005493,333,0
172.16.0.5,815,7022829,1,266,1003261,303,1
172.16.0.5,928,7028078,1,266,1004011,303,1
172.16.0.5,885,7041641,1,275,1005948,312,1
172.16.0.5,849,7028932,1,275,1004133,313,1
172.16.0.5,1004,7041129,1,266,1005875,302,1
172.16.0.5,820,7022979,1,271,1003282,308,1
172.16.0.5,864,7039035,1,275,1005576,313,1
172.16.0.5,1016,4656443,1,271,931288,349,1
172.16.0.5,974,7026091,1,275,1003727,313,1
172.16.0.5,872,7038784,1,266,1005540,302,1
172.16.0.5,926,7028213,1,275,1004030,313,1
172.16.0.5,890,7037362,1,271,1005337,308,1
172.16.0.5,789,7014687,1,271,1002098,309,1
172.16.0.5,859,7034122,1,266,1004874,303,1
172.16.0.5,783,7019355,1,266,1002765,303,1
172.16.0.5,972,7026226,1,253,1003746,288,0
172.16.0.5,998,7031887,1,271,1004555,308,1
172.16.0.5,981,7026090,1,266,1003727,303,1
172.16.0.5,811,7023115,1,271,1003302,308,1
172.16.0.5,808,7023413,1,275,1003344,313,1
172.16.0.5,524,4657065,1,271,931413,349,1
172.16.0.5,529,4665649,1,271,933129,348,1
172.16.0.5,1003,7041140,1,271,1005877,307,1
172.16.0.5,788,7014730,1,266,1002104,303,1
172.16.0.5,969,7022547,1,271,1003221,308,1
172.16.0.5,1006,7040424,1,266,1005774,302,1
172.16.0.5,779,7019792,1,262,1002827,298,1
172.16.0.5,527,4665400,1,271,933080,348,1
172.16.0.5,1021,4656584,1,259,931316,333,0
172.16.0.5,1002,7041139,1,266,1005877,302,1
172.16.0.5,793,7014635,1,262,1002090,299,1
172.16.0.5,804,7023374,1,271,1003339,308,1
172.16.0.5,521,4657638,1,271,931527,349,1
172.16.0.5,753,7010369,1,266,1001481,304,1
172.16.0.5,940,7027642,1,280,1003948,318,1
172.16.0.5,942,7027500,1,271,1003928,308,1
172.16.0.5,512,4656732,1,271,931346,349,1
172.16.0.5,882,7041642,1,271,1005948,307,1
172.16.0.5,966,7022570,1,275,1003224,313,1
172.16.0.5,1013,4660831,1,265,932166,341,1
172.16.0.5,764,7013955,1,271,1001993,309,1
172.16.0.5,526,4665551,1,277,933110,356,1
172.16.0.5,856,7034116,1,262,1004873,297,1
172.16.0.5,984,7026965,1,266,1003852,303,1
172.16.0.5,916,7024070,1,271,1003438,308,1
172.16.0.5,983,7026961,1,275,1003851,313,1
172.16.0.5,857,7034120,1,275,1004874,313,1
172.16.0.5,535,4669888,1,265,933977,340,1
172.16.0.5,893,7041654,1,275,1005950,312,1
172.16.0.5,536,4670023,1,289,934004,371,0
172.16.0.5,809,7023104,1,262,1003300,298,1
172.16.0.5,754,7010378,1,271,1001482,309,1
172.16.0.5,943,7027504,1,271,1003929,308,1
172.16.0.5,1012,4660924,1,271,932184,348,1
172.16.0.5,936,7027833,1,275,1003976,313,1
172.16.0.5,918,7024009,1,271,1003429,308,1
172.16.0.5,845,7024588,1,271,1003512,308,1
172.16.0.5,826,7022839,1,275,1003262,313,1
172.16.0.5,934,7032416,1,275,1004630,313,1
172.16.0.5,837,7024735,1,280,1003533,318,1
172.16.0.5,945,7027504,1,266,1003929,303,1
172.16.0.5,766,7022807,1,271,1003258,308,1
172.16.0.5,997,7031727,1,262,1004532,298,1
172.16.0.5,810,7023114,1,271,1003302,308,1
172.16.0.5,996,7031740,1,275,1004534,313,1
172.16.0.5,927,7028126,1,271,1004018,308,1
172.16.0.5,765,7018191,1,271,1002598,308,1
172.16.0.5,778,7024109,1,262,1003444,298,1
172.16.0.5,525,4661355,1,265,932271,341,1
172.16.0.5,894,7041646,1,266,1005949,303,1
172.16.0.5,881,7037306,1,266,1005329,302,1
172.16.0.5,841,7019966,1,271,1002852,308,1
172.16.0.5,822,7021988,1,266,1003141,303,1
172.16.0.5,531,4669504,1,271,933900,348,1
172.16.0.5,963,7026227,1,275,1003746,313,1
172.16.0.5,917,7024012,1,271,1003430,308,1
172.16.0.5,887,7041932,0,271,1408386,230,1
172.16.0.5,847,7024592,1,266,1003513,303,1
172.16.0.5,777,7023965,1,266,1003423,303,1
172.16.0.5,773,7019489,1,266,1002784,303,1
172.16.0.5,913,7024020,1,275,1003431,313,1
172.16.0.5,534,4669744,1,271,933948,348,1
172.16.0.5,528,4665695,1,277,933139,356,1
172.16.0.5,1005,7040334,1,253,1005762,287,0
172.16.0.5,1017,4656158,1,259,931231,333,0
172.16.0.5,522,4657298,1,259,931459,333,0
172.16.0.5,771,7023480,1,266,1003354,303,1
172.16.0.5,1020,4656727,1,265,931345,341,1
172.16.0.5,869,7039322,1,271,1005617,307,1
172.16.0.5,749,7016892,1,262,1002413,298,1
172.16.0.5,892,7041508,1,266,1005929,302,1
172.16.0.5,792,7014396,1,266,1002056,303,1
172.16.0.5,877,7038748,1,271,1005535,308,1
172.16.0.5,818,7022547,1,266,1003221,303,1
172.16.0.5,802,7019021,1,271,1002717,308,1
172.16.0.5,648,8185255,28,270,35743,7606,1
172.16.0.5,518,4657013,1,271,931402,349,1
172.16.0.5,1007,7036294,1,271,1005184,308,1
172.16.0.5,852,7033112,1,275,1004730,313,1
172.16.0.5,833,7024584,1,280,1003512,318,1
172.16.0.5,994,7031859,1,266,1004551,303,1
172.16.0.5,975,7026101,1,271,1003728,308,1
172.16.0.5,840,7020107,1,275,1002872,313,1
172.16.0.5,923,7028367,1,271,1004052,308,1
172.16.0.5,832,7023961,1,271,1003423,308,1
172.16.0.5,828,7024331,1,271,1003475,308,1
172.16.0.5,801,7019012,1,280,1002716,319,1
172.16.0.5,860,7034167,1,271,1004881,308,1
172.16.0.5,806,7023273,1,280,1003324,318,1
172.16.0.5,876,7038743,1,266,1005534,303,1
172.16.0.5,874,7038509,1,271,1005501,308,1
172.16.0.5,830,7024336,1,271,1003476,308,1
172.16.0.5,901,7045445,1,271,1006492,307,1
172.16.0.5,909,7032100,1,266,1004585,303,1
172.16.0.5,800,7018497,1,266,1002642,303,1
172.16.0.5,889,7037455,1,271,1005350,308,1
172.16.0.5,513,4656779,1,271,931355,349,1
172.16.0.5,955,7022610,1,271,1003230,308,1
172.16.0.5,821,7022416,0,271,1404483,231,1
172.16.0.5,1010,4660727,1,265,932145,341,1
172.16.0.5,915,7024015,1,271,1003430,308,1
172.16.0.5,999,7036582,1,271,1005226,308,1
172.16.0.5,968,7022611,1,271,1003230,308,1
172.16.0.5,782,7019644,1,271,1002806,308,1
172.16.0.5,838,7024586,1,271,1003512,308,1
172.16.0.5,991,7031457,1,275,1004493,313,1
172.16.0.5,967,7022592,1,271,1003227,308,1
172.16.0.5,993,7031728,1,266,1004532,303,1
172.16.0.5,979,7026101,1,271,1003728,308,1
172.16.0.5,902,7045411,1,271,1006487,307,1
172.16.0.5,786,7014975,1,271,1002139,309,1
172.16.0.5,944,7027438,1,271,1003919,308,1
172.16.0.5,912,7023725,1,271,1003389,308,1
172.16.0.5,1001,7041140,1,271,1005877,307,1
172.16.0.5,875,7038745,1,275,1005535,313,1
172.16.0.5,834,7024778,1,271,1003539,308,1
172.16.0.5,843,7024591,1,284,1003513,324,1
172.16.0.5,823,7021839,1,275,1003119,313,1
172.16.0.5,824,7021837,1,262,1003119,298,1
172.16.0.5,855,7034364,1,271,1004909,308,1
172.16.0.5,836,7024592,1,262,1003513,298,1
172.16.0.5,924,7028363,1,271,1004051,308,1
172.16.0.5,973,7026103,1,266,1003729,303,1
172.16.0.5,995,7031874,1,271,1004553,308,1
172.16.0.5,880,7037591,1,257,1005370,292,0
172.16.0.5,807,7023117,1,271,1003302,308,1
172.16.0.5,883,7041497,1,271,1005928,307,1
172.16.0.5,813,7022827,1,266,1003261,303,1
172.16.0.5,932,7036562,1,266,1005223,302,1
172.16.0.5,530,4669452,1,265,933890,340,1
172.16.0.5,755,7010364,1,271,1001480,309,1
172.16.0.5,925,7028325,1,271,1004046,308,1
172.16.0.5,976,7026046,1,271,1003720,308,1
172.16.0.5,921,7028081,1,275,1004011,313,1
172.16.0.5,920,7023742,1,280,1003391,319,1
172.16.0.5,785,7019354,1,271,1002764,308,1
172.16.0.5,861,7034414,1,275,1004916,313,1
