SrcIP,SrcPort,Feature0,Feature1,Feature2,Feature3,Feature4,Label
172.16.0.5,946,11765225,1,268,1069565,273,1
172.16.0.5,890,11791410,1,271,1071946,275,1
172.16.0.5,845,11780733,1,271,1070975,276,1
172.16.0.5,750,11786595,1,277,1071508,282,1
172.16.0.5,908,11782781,1,286,1071161,291,0
172.16.0.5,824,11790720,1,283,1071883,288,0
172.16.0.5,907,11782778,0,267,1309197,226,1
172.16.0.5,825,11786518,1,271,1071501,276,1
172.16.0.5,921,11775255,1,274,1070477,279,1
172.16.0.5,962,11777754,1,268,1070704,273,1
172.16.0.5,827,11786454,1,289,1071495,294,0
172.16.0.5,954,11769538,1,274,1069958,279,1
172.16.0.5,517,11784085,1,271,1071280,275,1
172.16.0.5,521,11784883,1,271,1071353,275,1
172.16.0.5,924,11775267,1,271,1070478,276,1
172.16.0.5,784,11781331,1,274,1071030,279,1
172.16.0.5,755,11784182,1,271,1071289,275,1
172.16.0.5,1003,11791384,1,274,1071944,278,1
172.16.0.5,916,11774626,1,271,1070420,276,1
172.16.0.5,768,11784333,1,274,1071303,279,1
172.16.0.5,749,11788860,1,265,1071714,269,1
172.16.0.5,514,11779685,1,268,1070880,273,1
172.16.0.5,965,11781348,1,268,1071031,272,1
172.16.0.5,1000,11786482,1,265,1071498,269,1
172.16.0.5,928,11774756,1,268,1070432,273,1
172.16.0.5,1021,11778785,1,268,1070798,273,1
172.16.0.5,978,11786172,1,265,1071470,269,1
172.16.0.5,955,11769515,1,271,1069955,276,1
172.16.0.5,753,11784147,1,268,1071286,272,1
172.16.0.5,889,11791873,1,268,1071988,272,1
172.16.0.5,934,11770371,1,274,1070033,279,1
172.16.0.5,807,11785584,1,277,1071416,282,1
172.16.0.5,957,11769746,1,268,1069976,273,1
172.16.0.5,997,11790529,1,265,1071866,269,1
172.16.0.5,816,11785938,1,274,1071448,278,1
172.16.0.5,528,11784986,1,274,1071362,278,1
172.16.0.5,534,11785804,1,271,1071436,275,1
172.16.0.5,515,11779489,1,268,1070862,273,1
172.16.0.5,789,11781350,1,271,1071031,276,1
172.16.0.5,840,11781164,1,274,1071014,279,1
172.16.0.5,815,11785633,1,268,1071421,272,1
172.16.0.5,864,11780150,1,274,1070922,279,1
172.16.0.5,822,11789131,1,265,1071739,269,1
172.16.0.5,988,11790144,1,268,1071831,272,1
172.16.0.5,994,11786703,1,268,1071518,272,1
172.16.0.5,893,11791748,1,274,1071977,278,1
172.16.0.5,884,11791879,1,268,1071989,272,1
172.16.0.5,879,11783053,1,271,1071186,275,1
172.16.0.5,964,11781208,1,271,1071018,276,1
