STT,SrcIP,SrcPort,DstIP,DstPort,Proto,FlowDuration,FlowPktsPerSec,FlowBytesPerSec,FlowIATMean,PktsLenMean,Label
1,172.16.0.5,990,192.168.50.4,63046,17,70,28571,7742857,70,271,1
2,192.168.50.8,52811,4.2.2.4,53,17,23,86956,7043478,23,81,1
3,172.16.0.5,648,192.168.50.4,29050,17,85,23529,6376470,85,271,0
4,192.168.50.6,51094,4.2.2.4,53,17,3,666666,58000000,3,87,1
5,172.16.0.5,587,192.168.50.4,59929,17,36,55555,15055555,36,271,1
6,172.16.0.5,630,192.168.50.4,41353,17,63,31746,8603174,63,271,1
7,192.168.50.6,52535,4.2.2.4,53,17,10,200000,17600000,10,88,1
8,172.16.0.5,944,192.168.50.4,37991,17,70,28571,7742857,70,271,1
9,172.16.0.5,648,192.168.50.4,58149,17,60,33333,10833333,60,325,0
10,172.16.0.5,648,192.168.50.4,47002,17,61,32786,8295081,61,253,0
11,172.16.0.5,702,192.168.50.4,46785,17,64,31250,8468750,64,271,1
12,172.16.0.5,704,192.168.50.4,28304,17,44,45454,13136363,44,289,0
13,172.16.0.5,648,192.168.50.4,2154,17,62,32258,8741935,62,271,1
14,192.168.50.8,63294,4.2.2.4,53,17,47,42553,3446808,47,81,1
15,172.16.0.5,648,192.168.50.4,45850,17,48,41666,10541666,48,253,0
16,172.16.0.5,708,192.168.50.4,38253,17,65,30769,8338461,65,271,1
17,172.16.0.5,695,192.168.50.4,61818,17,61,32786,8885245,61,271,0
18,172.16.0.5,579,192.168.50.4,60501,17,64,31250,8468750,64,271,0
19,74.208.236.171,80,192.168.50.6,55258,6,5245675,0,48,1748558,63,1
20,52.85.89.10,443,192.168.50.8,59930,6,5107291,2,200,464299,85,0
21,192.168.50.6,55214,172.217.15.102,443,6,62375,64,5130,20791,80,0
22,172.16.0.5,648,192.168.50.4,11444,17,53,37735,10226415,53,271,0
23,192.168.50.6,61486,4.2.2.4,53,17,5,400000,29600000,5,74,1
24,192.168.50.6,65467,8.8.8.8,53,17,4,500000,46000000,4,92,1
25,172.16.0.5,648,192.168.50.4,41117,17,44,45454,13136363,44,289,0
26,172.16.0.5,987,192.168.50.4,32967,17,70,28571,7742857,70,271,1
27,192.168.50.6,58248,4.2.2.4,53,17,2,1000000,92000000,2,92,1
28,172.16.0.5,826,192.168.50.4,59343,17,78,25641,6948717,78,271,0
29,172.16.0.5,699,192.168.50.4,23625,17,83,24096,6963855,83,289,0
30,172.16.0.5,647,192.168.50.4,26972,17,45,44444,12044444,45,271,0
31,172.16.0.5,653,192.168.50.4,63470,17,62,32258,8741935,62,271,1
32,192.168.50.8,60931,239.255.255.250,1900,17,6016597,8,62,113520,166,0
33,172.16.0.5,677,192.168.50.4,14011,17,65,30769,7784615,65,253,0
34,172.16.0.5,921,192.168.50.4,64593,17,54,37037,10037037,54,271,0
35,172.16.0.5,781,192.168.50.4,3699,17,53,37735,10226415,53,271,0
36,172.16.0.5,646,192.168.50.4,15969,17,37,54054,14648648,37,271,1
37,192.168.50.8,50882,4.2.2.4,53,17,5,400000,28800000,5,72,1
38,172.16.0.5,514,192.168.50.4,5516,17,54,37037,10037037,54,271,1
39,172.16.0.5,648,192.168.50.4,38219,17,45,44444,12044444,45,271,1
40,172.217.11.34,80,192.168.50.8,59906,6,7,285714,17142857,7,60,1
41,192.168.50.6,52649,4.2.2.4,53,17,9,222222,18888888,9,85,1
42,172.16.0.5,1022,192.168.50.4,37131,17,40,50000,13550000,40,271,1
43,172.16.0.5,1003,192.168.50.4,50494,17,41,48780,13219512,41,271,1
44,172.16.0.5,969,192.168.50.4,36632,17,56,35714,9678571,56,271,0
45,172.16.0.5,960,192.168.50.4,11321,17,55,36363,9854545,55,271,1
46,172.16.0.5,528,192.168.50.4,5504,17,50,40000,10840000,50,271,0
47,172.16.0.5,822,192.168.50.4,12774,17,46,43478,11782608,46,271,0
48,192.168.50.8,59923,104.36.115.113,443,6,30144963,0,44,1310650,234,0
49,172.16.0.5,648,192.168.50.4,37939,17,41,48780,12341463,41,253,0
50,172.16.0.5,761,192.168.50.4,13819,17,66,30303,8212121,66,271,0
51,172.16.0.5,648,192.168.50.4,47502,17,40,50000,13550000,40,271,1
52,172.16.0.5,735,192.168.50.4,23263,17,45,44444,12044444,45,271,1
53,172.16.0.5,648,192.168.50.4,5506,17,56,35714,9678571,56,271,0
54,172.16.0.5,870,192.168.50.4,48326,17,55,36363,9854545,55,271,0
55,192.168.50.8,137,192.168.50.255,137,17,3810270,6,579,165663,92,1
56,172.16.0.5,648,192.168.50.4,41558,17,59,33898,8576271,59,253,0
57,192.168.50.8,54318,4.2.2.4,53,17,4,500000,40000000,4,80,1
58,192.168.50.6,49281,4.2.2.4,53,17,7,285714,21142857,7,74,1
59,172.16.0.5,939,192.168.50.4,28869,17,71,28169,7633802,71,271,0
60,172.16.0.5,950,192.168.50.4,37802,17,54,37037,10037037,54,271,1
61,172.16.0.5,928,192.168.50.4,20638,17,69,28985,7855072,69,271,0
62,172.16.0.5,727,192.168.50.4,20067,17,61,32786,8885245,61,271,1
63,172.16.0.5,648,192.168.50.4,59821,17,48,41666,11291666,48,271,1
64,172.16.0.5,648,192.168.50.4,59703,17,37,54054,14648648,37,271,0
65,172.16.0.5,533,192.168.50.4,52765,17,36,55555,15055555,36,271,0
66,192.168.50.8,65211,4.2.2.4,53,17,3,666666,44666666,3,67,1
67,172.16.0.5,648,192.168.50.4,56479,17,55,36363,9854545,55,271,1
68,172.16.0.5,844,192.168.50.4,16982,17,43,46511,12604651,43,271,0
69,172.16.0.5,539,192.168.50.4,1055,17,63,31746,8603174,63,271,0
70,192.168.50.6,55247,23.194.142.213,443,6,30090869,0,67,2735533,527,0
