global_idx,tree_idx,node_idx,left_idx,right_idx,split_value,feature_idx,is_leaf,label
0,0,0,1,2,0.707223,4,0,0
1,0,1,3,4,0.562513,4,0,0
2,0,2,5,6,0.690372,0,0,0
3,0,3,7,8,0.511908,1,0,0
4,0,4,9,10,0.688297,4,0,0
5,0,5,-1,-1,256.000000,-1,1,0
6,0,6,11,12,0.730704,4,0,0
7,0,7,-1,-1,256.000000,-1,1,0
8,0,8,13,14,0.342661,0,0,0
9,0,9,-1,-1,256.000000,-1,1,1
10,0,10,15,16,0.749279,0,0,0
11,0,11,-1,-1,256.000000,-1,1,0
12,0,12,-1,-1,256.000000,-1,1,1
13,0,13,-1,-1,256.000000,-1,1,0
14,0,14,-1,-1,256.000000,-1,1,1
15,0,15,-1,-1,256.000000,-1,1,1
16,0,16,17,18,0.866033,0,0,0
17,0,17,-1,-1,256.000000,-1,1,0
18,0,18,-1,-1,256.000000,-1,1,1
256,1,0,257,258,0.755123,4,0,0
257,1,1,259,260,0.562513,4,0,0
258,1,2,261,262,0.514155,0,0,0
259,1,3,263,264,0.508434,1,0,0
260,1,4,265,266,0.706106,4,0,0
261,1,5,-1,-1,256.000000,-1,1,0
262,1,6,267,268,0.736243,0,0,0
263,1,7,-1,-1,256.000000,-1,1,0
264,1,8,269,270,0.343644,0,0,0
265,1,9,271,272,0.898501,1,0,0
266,1,10,273,274,0.828845,0,0,0
267,1,11,275,276,0.646038,0,0,0
268,1,12,-1,-1,256.000000,-1,1,1
269,1,13,-1,-1,256.000000,-1,1,0
270,1,14,-1,-1,256.000000,-1,1,1
271,1,15,-1,-1,256.000000,-1,1,1
272,1,16,277,278,0.900776,1,0,0
273,1,17,-1,-1,256.000000,-1,1,0
274,1,18,-1,-1,256.000000,-1,1,1
275,1,19,-1,-1,256.000000,-1,1,1
276,1,20,279,280,0.664490,0,0,0
277,1,21,-1,-1,256.000000,-1,1,0
278,1,22,-1,-1,256.000000,-1,1,1
279,1,23,281,282,0.659002,0,0,0
280,1,24,-1,-1,256.000000,-1,1,0
281,1,25,-1,-1,256.000000,-1,1,0
282,1,26,-1,-1,256.000000,-1,1,1
512,2,0,513,514,0.754575,4,0,0
513,2,1,515,516,0.562513,4,0,0
514,2,2,517,518,0.510179,0,0,0
515,2,3,-1,-1,256.000000,-1,1,0
516,2,4,519,520,0.745296,4,0,0
517,2,5,-1,-1,256.000000,-1,1,0
518,2,6,521,522,0.170720,2,0,0
519,2,7,523,524,0.749561,1,0,0
520,2,8,525,526,0.585844,0,0,0
521,2,9,-1,-1,256.000000,-1,1,1
522,2,10,527,528,0.665939,0,0,0
523,2,11,529,530,0.749144,1,0,0
524,2,12,-1,-1,256.000000,-1,1,1
525,2,13,-1,-1,256.000000,-1,1,0
526,2,14,-1,-1,256.000000,-1,1,1
527,2,15,-1,-1,256.000000,-1,1,1
528,2,16,-1,-1,256.000000,-1,1,0
529,2,17,531,532,0.342099,0,0,0
530,2,18,-1,-1,256.000000,-1,1,0
531,2,19,533,534,0.316637,0,0,0
532,2,20,535,536,0.678228,4,0,0
533,2,21,-1,-1,256.000000,-1,1,1
534,2,22,-1,-1,256.000000,-1,1,0
535,2,23,-1,-1,256.000000,-1,1,1
536,2,24,537,538,0.679645,4,0,0
537,2,25,-1,-1,256.000000,-1,1,0
538,2,26,-1,-1,256.000000,-1,1,1
768,3,0,769,770,0.753744,4,0,0
769,3,1,771,772,0.562513,4,0,0
770,3,2,773,774,0.126503,1,0,0
771,3,3,-1,-1,256.000000,-1,1,0
772,3,4,775,776,0.681982,4,0,0
773,3,5,-1,-1,256.000000,-1,1,1
774,3,6,777,778,0.835878,4,0,0
775,3,7,-1,-1,256.000000,-1,1,1
776,3,8,779,780,0.961176,3,0,0
777,3,9,-1,-1,256.000000,-1,1,0
778,3,10,-1,-1,256.000000,-1,1,1
779,3,11,781,782,0.832805,3,0,0
780,3,12,-1,-1,256.000000,-1,1,1
781,3,13,783,784,0.505012,0,0,0
782,3,14,785,786,0.739319,4,0,0
783,3,15,-1,-1,256.000000,-1,1,0
784,3,16,-1,-1,256.000000,-1,1,1
785,3,17,-1,-1,256.000000,-1,1,0
786,3,18,-1,-1,256.000000,-1,1,1
1024,4,0,1025,1026,0.755667,4,0,0
1025,4,1,1027,1028,0.562513,4,0,0
1026,4,2,1029,1030,0.177804,2,0,0
1027,4,3,-1,-1,256.000000,-1,1,0
1028,4,4,1031,1032,0.711253,4,0,0
1029,4,5,-1,-1,256.000000,-1,1,1
1030,4,6,1033,1034,0.835878,4,0,0
1031,4,7,1035,1036,0.590523,4,0,0
1032,4,8,1037,1038,0.725252,4,0,0
1033,4,9,-1,-1,256.000000,-1,1,0
1034,4,10,1039,1040,0.458126,0,0,0
1035,4,11,1041,1042,0.357781,0,0,0
1036,4,12,-1,-1,256.000000,-1,1,1
1037,4,13,-1,-1,256.000000,-1,1,0
1038,4,14,-1,-1,256.000000,-1,1,1
1039,4,15,-1,-1,256.000000,-1,1,0
1040,4,16,-1,-1,256.000000,-1,1,1
1041,4,17,-1,-1,256.000000,-1,1,1
1042,4,18,1043,1044,0.846561,3,0,0
1043,4,19,1045,1046,0.366728,0,0,0
1044,4,20,-1,-1,256.000000,-1,1,1
1045,4,21,-1,-1,256.000000,-1,1,0
1046,4,22,1047,1048,0.555453,0,0,0
1047,4,23,-1,-1,256.000000,-1,1,1
1048,4,24,-1,-1,256.000000,-1,1,0
